# Name                    SName     OName                  RAJ2000  DEJ2000  Discovery SpTypeopt r_SpTypeopt SpTypeir r_SpTypeir spt_adop spt_flt Binary  Variable Non-var Program AORKEY                              Module          ExpTime         ObsDate                          PI                 SNR6um SNR12um Publication   CH4obs e_CH4obs r_CH4obs W3obs  e_W3obs CH4syn e_CH4syn W3syn  e_W3syn Water e_Water Methane e_Methane Ammonia e_Ammonia Silicate e_Silicate Inclination ed_Inclination eu_Inclination Inc_ref   Jmag   e_Jmag Hmag   e_Hmag Kmag   e_Kmag W1mag  e_W1mag W2mag  e_W2mag W3mag  e_W3mag W4mag e_W4mag CH1   eCH1 CH2   eCH2 CH3   eCH3 CH4   eCH4 IRAC_Ref            Period ePeriod Period_ref                AJ(%) e_AJ A3.6(%) e_A3.6 A4.5(%) e_A4.5 ref             parallax eparallax parallax_ref          SpeX Silicate_SM23 e_Silicate_SM23 excess_Si_SM23 e_excess_Si_SM23
  SDSSJ083717.21-000018.0 0837-0000 ""                     129.3215 -0.0051  Legg00    T0        Kirk08      T1       Burg06b    T1       91.0    ""      ""       ""      51      4183552,12495616                    SL2,SL1         32,32,0,0       2004-04-13,2005-04-23            Houck,JamesR.      2      2       Suar22        14.22  0.14     Patt06   12.712 ""      13.86  0.418    ""     ""      1.34  0.11    1.24    0.13      1.07    0.1       0.82     0.21       ""          ""             ""             ""        16.434 0.134  15.707 0.127  15.474 0.202  15.4   0.048   14.688 0.074   12.816 ""      9.18  ""      14.76 0.03 14.6  0.01 14.41 0.13 14.22 0.14 Patten_etal2006     ""     ""      ""                        ""    ""   ""      ""     ""      ""     Vos+2020_table3 33.7     13.45     Vrba_etal2004         yes  0.71          0.05            0.04           0.05          
  2MASSJ08575849+5708514  0857+5708 ""                     134.4937 57.1476  Geba02    L8        Kirk08      L8       Geba02     L8       88.0    ""      ""       ""      3431    10979584                            SL2,SL1         8,8,0,0         2004-10-23                       Leggett,SandyK.    20     7       Step09        10.74  0.02     Patt06   10.317 0.063   10.995 0.091    ""     ""      1.26  0.03    0.72    0.02      1.12    0.02      1.02     0.09       ""          ""             ""             ""        15.038 0.04   13.79  0.042  12.962 0.03   12.019 0.024   11.415 0.021   10.376 0.058   8.569 0.27    11.62 0.0  11.44 0.02 11.02 0.01 10.74 0.02 Patten_etal2006     ""     ""      ""                        ""    ""   ""      ""     ""      ""     Vos+2020_table3 72.72    0.73      GaiaCollaboration2020 yes  1.04          0.06            0.21           0.06          
  2MASSJ09083803+5032088  0908+5032 ""                     137.1584 50.5356  Cruz03    L5        Cruz03      L9       Knap04     L5       85.0    ""      ""       Buen14  3431    10978816                            SL2,SL1         8,16,0,0        2004-10-23                       Leggett,SandyK.    20     8       Step09        11.13  0.03     Patt06   10.748 0.114   11.248 0.076    ""     ""      1.23  0.06    0.81    0.04      1.14    0.05      0.98     0.09       ""          ""             ""             ""        14.549 0.023  13.477 0.03   12.945 0.027  12.087 0.022   11.646 0.023   10.755 0.089   8.976 ""      11.67 0.02 11.66 0.01 11.39 0.01 11.13 0.03 Patten_etal2006     ""     ""      ""                        ""    ""   ""      ""     ""      ""     Vos+2020_table3 95.93    0.55      GaiaCollaboration2020 yes  0.89          0.04            -0.21          0.04          
  2MASSJ09111297+7401081  0911+7401 ""                     137.804  74.0189  Reid08    L0        Reid08      ""       ""         L0       80.0    ""      ""       ""      3136    10367488                            SL2,SL1         6,6,0,0         2005-03-13                       Cruz,Kelle         6      2       Suar22        ""     ""       ""       10.559 0.076   12.391 0.322    ""     ""      1.1   0.05    0.78    0.08      1.21    0.13      1.21     0.32       ""          ""             ""             ""        12.921 0.027  12.205 0.03   11.748 0.026  11.336 0.024   11.017 0.02    10.619 0.065   9.241 ""      ""    ""   ""    ""   ""    ""   ""    ""   ""                  ""     ""      ""                        ""    ""   ""      ""     ""      ""     Vos+2020_table3 40.23    0.13      GaiaCollaboration2020 no   1.24          0.23            0.29           0.23          
  2MASSJ09121469+1459396  0912+1459 Gl337CD,pi.01CncC      138.0608 14.9946  Wils01    L8        Wils01      T0       Burg06b    L8       88.0    Burg05a ""       ""      51      12494080                            SL2,SL1         16,16,0,0       2005-04-23                       Houck,JamesR.      19     8       Cush06        11.95  0.05     Patt06   11.297 0.189   11.954 0.082    ""     ""      1.33  0.04    1.29    0.05      1.22    0.05      0.87     0.1        ""          ""             ""             ""        15.512 0.078  14.621 0.081  14.043 0.063  13.225 0.028   12.484 0.028   11.331 0.171   8.789 0.482   12.5  0.02 12.33 0.02 11.96 0.08 11.95 0.05 Patten_etal2006     ""     ""      ""                        ""    ""   ""      ""     ""      ""     Vos+2020_table3 49.11    0.54      vanLeeuwen2007        yes  0.79          0.04            -0.04          0.04          
  2MASSJ09201223+3517429  0920+3517 ""                     140.0509 35.2952  Kirk00    L6.5      Kirk00      T0p      Burg06b    L6.5     86.5    Dupu12  ""       ""      51      4190976                             SL2,SL1         16,16,0,0       2004-04-19                       Houck,JamesR.      12     4       Suar22        12.21  0.22     Fili15   12.126 0.39    12.178 0.152    ""     ""      1.24  0.07    0.68    0.05      0.95    0.07      1.33     0.25       ""          ""             ""             ""        15.625 0.063  14.673 0.057  13.979 0.061  13.297 0.025   12.828 0.028   12.406 0.407   9.212 ""      ""    ""   ""    ""   ""    ""   12.21 0.22 Filippazzo_etal2015 ""     ""      ""                        ""    ""   ""      ""     ""      ""     Vos+2020_table3 32.3     0.6       Dupuy-Liu2017         yes  1.31          0.14            0.32           0.14          
  2MASSJ09211410-2104446  0921-2104 ""                     140.3088 -21.079  Reid08    L1.5      Reid08      L4       Burg08a    L1.5     81.5    ""      Koen13   ""      3136    10368000                            SL2,SL1         6,6,0,0         2005-05-31                       Cruz,Kelle         24     7       Suar22        ""     ""       ""       10.387 0.069   10.621 0.079    ""     ""      1.11  0.01    0.7     0.02      1.15    0.03      1.0      0.07       ""          ""             ""             ""        12.779 0.024  12.152 0.022  11.69  0.023  11.237 0.023   10.93  0.021   10.378 0.061   8.563 ""      ""    ""   ""    ""   ""    ""   ""    ""   ""                  ""     ""      Koen2013                  ""    ""   ""      ""     ""      ""     Vos+2020_table3 79.57    0.15      GaiaCollaboration2020 yes  0.94          0.05            -0.09          0.05          
  2MASSJ09293364+3429527  0929+3429 ""                     142.3901 34.498   Kirk00    L8        Kirk00      L7.5     Knap04     L8       88.0    ""      ""       ""      51      4195072                             SL2,SL1         16,16,0,0       2004-04-19                       Houck,JamesR.      8      2       Cush06,Suar22 ""     ""       ""       12.119 0.327   12.458 0.195    ""     ""      1.17  0.11    0.7     0.13      0.76    0.16      1.24     0.31       ""          ""             ""             ""        16.601 0.125  15.44  0.103  14.644 0.104  13.873 0.028   13.275 0.032   11.901 0.222   9.261 ""      ""    ""   ""    ""   ""    ""   ""    ""   ""                  ""     ""      ""                        ""    ""   ""      ""     ""      ""     Vos+2020_table3 ""       ""        ""                    yes  1.22          0.19            0.38           0.19          
  2MASSJ09373487+2931409  0937+2931 ""                     144.3985 29.5242  Burg02    T7        Burg03d     T6p      Burg06b    T6p      96.0    ""      ""       Gira13  51      4195328,12494848                    SL2,SL1         32,32,0,0       2004-04-18,2005-11-17            Houck,JamesR.      18     17      Cush06        11.73  0.04     Patt06   10.696 0.101   11.653 0.065    ""     ""      1.33  0.08    2.52    0.09      1.52    0.06      0.6      0.08       ""          ""             ""             ""        14.648 0.036  14.703 0.068  15.267 0.13   14.073 0.029   11.658 0.022   10.75  0.089   8.53  ""      13.1  0.03 11.64 0.04 12.32 0.02 11.73 0.04 Patten_etal2006     ""     ""      ""                        ""    ""   ""      ""     ""      ""     Vos+2020_table3 163.39   1.76      Schilbach_etal2009    yes  0.49          0.03            -0.01          0.03          
  2MASSJ09393548-2448279  0939-2448 ""                     144.8997 -24.8108 Tinn05    T8        Pine16      T8       Burg06b    T8       98.0    ""      ""       Radi14  20544   14824704                            SL2,SL1         120,120,0,0     2006-05-24                       Burgasser,AdamJ.   11     45      Burg08c       11.89  0.03     Burg08c  10.667 0.086   11.868 0.057    ""     ""      1.66  0.15    4.93    0.24      1.58    0.12      0.6      0.11       ""          ""             ""             ""        15.98  0.106  15.797 0.15   16.556 ""     15.027 0.039   11.639 0.022   10.714 0.085   9.196 ""      13.76 0.02 11.66 0.02 12.96 0.03 11.89 0.03 Burgasser_etal2008  ""     ""      ""                        ""    ""   ""      ""     ""      ""     Vos+2020_table3 187.3    4.6       Burgasser_etal2008    yes  0.4           0.02            -0.03          0.02          
  2MASSJ10130734-1356204  1013-1356 ""                     153.2806 -13.9393 Scho04    sdM9.5    Scho04      ""       ""         sdM9.5   79.5    ""      ""       ""      251     12435200                            SL2,SL1         64,72,0,0       2005-06-07                       Burgasser,AdamJ.   10     1       Suar22        ""     ""       ""       12.359 ""      13.476 0.218    ""     ""      1.11  0.07    0.63    0.07      0.92    0.11      1.52     0.34       ""          ""             ""             ""        14.621 0.032  14.382 0.049  14.398 0.078  13.782 0.028   13.545 0.035   12.68  0.51    8.491 ""      ""    ""   ""    ""   ""    ""   ""    ""   ""                  ""     ""      ""                        ""    ""   ""      ""     ""      ""     Vos+2020_table3 17.71    0.16      GaiaCollaboration2020 yes  0.95          0.11            0.0            0.11          
  2MASSJ10170754+1308398  1017+1308 ""                     154.2815 13.1444  Cruz03    L2        Cruz03      L1       Wils03     L2       82.0    Gizi03  ""       ""      50367   26087680                            SL2,SL1         14,54,0,0       2009-01-19                       Cushing,MichaelC.  10     5       Fili15,Suar22 11.7   0.03     Patt06   11.762 0.284   11.781 0.117    ""     ""      1.01  0.03    0.74    0.04      1.1     0.04      1.07     0.13       ""          ""             ""             ""        14.096 0.024  13.284 0.027  12.71  0.023  12.288 0.024   12.048 0.025   11.444 0.194   9.001 0.539   12.03 0.01 12.05 0.03 11.85 0.04 11.7  0.03 Patten_etal2006     ""     ""      ""                        ""    ""   ""      ""     ""      ""     Vos+2020_table3 32.7     0.59      GaiaCollaboration2020 no   1.04          0.11            -0.03          0.11          
  2MASSJ10210969-0304197  1021-0304 ""                     155.2904 -3.0723  Legg00    T3.5      Kirk08      T3       Burg06b    T3       93.0    Burg06a ""       Wils14  51      4183808,12497920                    SL2,SL1         32,32,0,0       2004-05-13,2005-06-07            Houck,JamesR.      5      4       Cush06,Suar22 13.16  0.11     Patt06   12.286 0.424   13.313 0.229    ""     ""      1.19  0.07    1.77    0.18      1.2     0.07      0.89     0.18       ""          ""             ""             ""        16.253 0.091  15.346 0.101  15.126 0.173  14.74  0.036   13.741 0.04    12.063 ""      9.164 ""      14.16 0.02 13.8  0.02 13.58 0.12 13.16 0.11 Patten_etal2006     ""     ""      ""                        ""    ""   ""      ""     ""      ""     Vos+2020_table3 33.7     1.3       Dupuy-Liu2017         yes  0.61          0.06            0.03           0.06          
  2MASSJ10224821+5825453  1022+5825 ""                     155.7009 58.4293  Reid08    L1beta    Cruz09      L0.6     Bard14     L1beta   81.0    ""      ""       ""      3136    10368512                            SL2,SL1         12,12,0,0       2005-04-16                       Cruz,Kelle         4      1       Suar22        ""     ""       ""       11.156 0.137   13.072 0.434    ""     ""      1.23  0.09    0.74    0.12      0.82    0.12      1.27     0.42       ""          ""             ""             ""        13.499 0.026  12.642 0.032  12.16  0.025  11.762 0.023   11.496 0.021   11.2   0.109   9.133 ""      ""    ""   ""    ""   ""    ""   ""    ""   ""                  ""     ""      ""                        ""    ""   ""      ""     ""      ""     Vos+2020_table3 53.97    0.16      GaiaCollaboration2020 no   1.15          0.22            0.15           0.22          
  CFBDSJ102841+565401     1028+5654 ""                     157.1709 56.9005  Albe11    ""        ""          T8.0     Albe11     T8       98.0    ""      ""       ""      50667   26685952                            SL1             0,200,0,0       2008-12-05                       Albert,Loic        0      3       Suar22        ""     ""       ""       ""     ""      ""     ""       ""     ""      ""    ""      2.92    0.41      1.24    0.1       ""       ""         ""          ""             ""             ""        12.753 0.025  12.188 0.031  11.93  0.026  11.765 0.024   11.616 0.021   11.461 0.136   9.024 ""      ""    ""   ""    ""   ""    ""   ""    ""   ""                  ""     ""      ""                        ""    ""   ""      ""     ""      ""     Vos+2020_table3 45.0     2.9       Kirkpatrick_etal2019  no   ""            ""              ""             ""            
  2MASSJ10365305-3441380  1036-3441 ""                     159.2211 -34.694  Gizi02    L6        Gizi02      L6.5     Burg10     L6       86.0    ""      ""       Radi14  51      12494592                            SL2,SL1         16,16,0,0       2006-01-23                       Houck,JamesR.      25     12      Fili15,Suar22 11.89  0.14     Fili15   11.454 0.185   11.86  0.061    ""     ""      1.32  0.04    0.98    0.03      1.11    0.03      0.88     0.08       ""          ""             ""             ""        15.622 0.048  14.446 0.035  13.798 0.043  12.965 0.023   12.446 0.025   11.328 0.142   8.629 ""      ""    ""   ""    ""   ""    ""   11.89 0.14 Filippazzo_etal2015 ""     ""      ""                        ""    ""   ""      ""     ""      ""     Vos+2020_table3 67.96    1.6       GaiaCollaboration2020 yes  0.83          0.05            -0.2           0.05          
  2MASSJ10452400-0149576  1045-0149 ""                     161.3499 -1.8327  Gizi02    L1        Gizi02      L2       Maro13     L1       81.0    ""      ""       Koen13  3136    10368768                            SL2,SL1         6,6,0,0         2005-05-23                       Cruz,Kelle         19     4       Suar22        ""     ""       ""       10.768 0.109   10.938 0.098    ""     ""      1.07  0.02    0.74    0.02      1.1     0.03      0.98     0.08       ""          ""             ""             ""        13.16  0.024  12.352 0.025  11.78  0.023  11.452 0.024   11.227 0.022   10.762 0.092   8.957 0.412   ""    ""   ""    ""   ""    ""   ""    ""   ""                  ""     ""      ""                        ""    ""   ""      ""     ""      ""     Vos+2020_table3 61.78    1.46      Liu_etal2016          no   0.94          0.05            -0.06          0.05          
  2MASSJ10484281+0111580  1048+0111 ""                     162.1784 1.1995   Hawl02    L1        Hawl02      L4       Kend04     L1       81.0    ""      Koen03   ""      3136    10369024                            SL2,SL1         6,6,0,0         2005-05-23                       Cruz,Kelle         21     5       Suar22        ""     ""       ""       10.582 0.111   10.754 0.086    ""     ""      1.06  0.02    0.73    0.02      1.09    0.04      0.99     0.07       ""          ""             ""             ""        12.924 0.023  12.14  0.022  11.623 0.024  11.274 0.024   11.018 0.021   10.641 0.097   8.28  ""      ""    ""   ""    ""   ""    ""   ""    ""   ""                  ""     ""      Koen2003                  ""    ""   ""      ""     ""      ""     Vos+2020_table3 66.59    0.16      GaiaCollaboration2020 yes  0.91          0.04            -0.09          0.04          
  2MASSJ10511900+5613086  1051+5613 ""                     162.8291 56.2191  Reid08    L2        Reid08      L0.8     Bard14     L2       82.0    ""      ""       ""      3136    10369280                            SL2,SL1         6,6,0,0         2005-04-16                       Cruz,Kelle         20     5       Suar22        ""     ""       ""       10.782 0.095   10.981 0.093    ""     ""      1.08  0.02    0.7     0.02      1.36    0.07      1.12     0.1        ""          ""             ""             ""        13.244 0.026  12.423 0.032  11.905 0.024  11.505 0.023   11.267 0.022   10.828 0.08    8.825 ""      ""    ""   ""    ""   ""    ""   ""    ""   ""                  ""     ""      ""                        ""    ""   ""      ""     ""      ""     Vos+2020_table3 63.92    0.13      GaiaCollaboration2020 no   1.09          0.09            0.01           0.09          
  2MASSJ10521350+4422559  1052+4422 ""                     163.0561 44.3822  Chiu06    L7.5      Pine16      T0.5     Chiu06     L7.5     87.5    Dupu15  Gira13   ""      20514   15492864                            SL2,SL1         64,200,0,0      2006-05-23                       Golimowski,DavidA. 16     12      Step09        12.36  0.03     Legg07   12.53  0.42    12.428 0.069    ""     ""      1.26  0.06    0.79    0.06      1.05    0.04      0.97     0.16       ""          ""             ""             ""        15.958 0.098  15.161 0.098  14.568 0.094  13.687 0.027   13.106 0.029   12.516 0.328   8.802 ""      13.23 0.03 13.1  0.03 12.67 0.03 12.36 0.03 Leggett_etal2007    3.0    ""      Girardin_etal2013         2.2   0.5  ""      ""     ""      ""     Vos+2020_table3 38.1     0.6       Dupuy-Liu2017         yes  0.77          0.06            -0.12          0.06          
  2MASSJ11061197+2754225  1106+2754 ""                     166.5484 27.9041  Loop07    ""        ""          T2.5     Loop07     T2.5     92.5    ""      ""       Gira13  24      16201728                            SL2,SL1         16,16,0,0       2005-12-15                       Roellig,Thomas     24     11      Kirk10,Suar22 ""     ""       ""       11.526 0.195   11.784 0.063    ""     ""      1.28  0.04    1.39    0.04      1.23    0.03      0.76     0.05       ""          ""             ""             ""        14.824 0.043  14.15  0.054  13.801 0.051  13.156 0.026   12.309 0.027   11.747 0.214   8.93  0.409   ""    ""   ""    ""   ""    ""   ""    ""   ""                  ""     ""      ""                        ""    ""   ""      ""     ""      ""     Vos+2020_table3 49.27    1.22      GaiaCollaboration2020 yes  0.68          0.02            0.08           0.02          
  2MASSJ11083081+6830169  1108+6830 ""                     167.1282 68.5046  Gizi00    L1e       Gizi00      L1.8     Alle16     L1e      81.0    ""      Clar02b  ""      51      4187648                             SL2,SL1,LL2,LL1 16,16,4,4       2004-04-18                       Houck,JamesR.      60     16      Cush06,Suar22 ""     ""       ""       10.168 0.049   10.348 0.031    10.175 0.058   1.02  0.02    0.65    0.02      1.11    0.03      1.07     0.07       ""          ""             ""             ""        13.123 0.024  12.235 0.021  11.583 0.019  11.103 0.024   10.754 0.021   10.205 0.043   9.494 ""      ""    ""   ""    ""   ""    ""   ""    ""   ""                  ""     ""      Clarke_etal2002b          ""    ""   ""      ""     ""      ""     Vos+2020_table3 61.81    0.13      GaiaCollaboration2020 no   0.99          0.04            -0.01          0.04          
  2MASSJ11101001+0116130  1110+0116 ""                     167.5417 1.2702   Geba02    ""        ""          T5.5     Burg06b    T5.5     95.5    ""      ""       Radi14  3431    10976768,10977024,12237568          SL2,SL1         144,288,0,0     2005-05-23,2005-01-15            Leggett,SandyK.    8      11      Step09        13.21  0.16     Patt06   12.0   0.294   13.061 0.108    ""     ""      1.19  0.05    2.36    0.16      1.14    0.06      0.62     0.09       ""          ""             ""             ""        16.343 0.115  15.924 0.144  15.129 ""     15.531 0.053   13.917 0.047   12.117 0.317   9.159 ""      14.71 0.03 13.88 0.02 13.43 0.07 13.21 0.16 Patten_etal2006     ""     ""      ""                        ""    ""   ""      ""     1.25    0.0    Vos+2020_table3 52.1     1.2       Dupuy-Liu2012         yes  0.47          0.03            -0.04          0.03          
  2MASSJ11122567+3548131  1112+3548 HD97334B,Gl417BC       168.1068 35.8035  Kirk00    L4.5      Kirk00      L4.8     Bard14     L4.5     84.5    Bouy03  ""       Bail03  50367   26088192                            SL2,SL1         12,22,0,0       2009-01-19                       Cushing,MichaelC.  18     5       Suar22        ""     ""       ""       11.036 0.133   11.319 0.11     ""     ""      1.15  0.02    0.68    0.02      0.98    0.05      1.37     0.11       ""          ""             ""             ""        14.584 0.033  13.499 0.032  12.721 0.028  11.968 0.023   11.638 0.022   11.091 0.117   8.538 ""      ""    ""   ""    ""   ""    ""   ""    ""   ""                  ""     ""      ""                        ""    ""   ""      ""     ""      ""     Vos+2020_table3 45.61    0.44      vanLeeuwen2007        yes  1.15          0.06            0.01           0.06          
  2MASSJ11145133-2618235  1114-2618 ""                     168.7031 -26.3078 Tinn05    T8        Pine16      T7.5     Burg06b    T7.5     97.5    ""      ""       Radi14  20544   14825216                            SL2,SL1         120,120,0,0     2006-02-01                       Burgasser,AdamJ.   11     23      Suar22        12.25  0.04     Legg10a  11.346 0.179   12.262 0.078    ""     ""      1.39  0.16    3.4     0.26      1.52    0.09      0.6      0.11       ""          ""             ""             ""        16.155 0.112  15.545 0.115  15.41  0.205  15.368 0.051   12.239 0.026   10.973 0.111   9.147 ""      14.01 0.03 12.23 0.03 13.22 0.03 12.25 0.04 Leggett_etal2010    ""     ""      ""                        ""    ""   ""      ""     ""      ""     Vos+2020_table3 179.2    1.4       Dupuy-Liu2012         no   0.45          0.03            -0.0           0.03          
  2MASSJ11263991-5003550  1126-5003 ""                     171.6658 -50.0652 Folk07    L4.5      Burg08a     L6.5p    Burg08a    L4.5     84.5    ""      Metc15   ""      50059   25361409                            SL2,SL1         64,64,0,0       2009-04-05                       Burgasser,AdamJ.   39     12      Suar22        ""     ""       ""       11.584 0.146   11.62  0.052    ""     ""      1.14  0.02    0.69    0.02      1.15    0.03      1.12     0.08       35          7              7              Vos+2017  13.997 0.032  13.284 0.036  12.829 0.029  12.218 0.024   11.942 0.022   11.584 0.146   9.371 ""      ""    ""   ""    ""   ""    ""   ""    ""   ""                  3.2    0.3     Metchev_etal2015          1.2   0.1  0.21    0.04   0.29    0.15   Vos+2020_table3 61.83    0.25      GaiaCollaboration2020 yes  1.01          0.04            -0.13          0.04          
  2MASSJ11555389+0559577  1155+0559 ""                     178.9727 5.9991   Knap04    ""        ""          L7.5     Knap04     L7.5     87.5    ""      ""       Radi14  20514   14793216                            SL2,SL1         32,96,0,0       2006-01-26                       Golimowski,DavidA. 9      9       Step09        12.26  0.04     Legg07   11.968 0.331   12.163 0.09     ""     ""      0.83  0.04    0.73    0.05      1.34    0.06      1.06     0.16       ""          ""             ""             ""        15.66  0.077  14.703 0.07   14.118 0.075  13.298 0.027   12.848 0.03    12.415 0.494   8.891 ""      12.83 0.03 12.83 0.03 12.5  0.03 12.26 0.04 Leggett_etal2007    ""     ""      ""                        ""    ""   ""      ""     ""      ""     Vos+2020_table3 46.5     3.9       Best_etal2020         yes  0.96          0.06            0.07           0.06          
  2MASSJ12074717+0244249  1207+0244 ""                     181.9444 2.7408   Hawl02    L8        Hawl02      T0       Burg06b    L8       88.0    ""      ""       Radi14  3431    12237824,12238336                   SL2,SL1         64,128,0,0      2005-06-06,2005-06-03            Leggett,SandyK.    19     14      Step09        12.23  0.06     Legg07   11.467 0.214   12.125 0.064    ""     ""      1.18  0.05    0.94    0.03      1.06    0.02      0.86     0.09       ""          ""             ""             ""        15.58  0.071  14.561 0.065  13.986 0.059  13.397 0.027   12.784 0.029   11.397 0.204   8.83  ""      12.86 0.03 12.73 0.03 12.42 0.03 12.23 0.06 Leggett_etal2007    ""     ""      ""                        ""    ""   ""      ""     ""      ""     Vos+2020_table3 44.8     3.6       Best_etal2020         yes  0.75          0.03            -0.09          0.03          
  2MASSJ12130336-0432437  1213-0432 ""                     183.2639 -4.5455  Cruz03    L5        Cruz03      L4.2     Bard14     L5       85.0    ""      ""       ""      3136    10370048                            SL2,SL1         14,14,0,0       2005-06-06                       Cruz,Kelle         16     3       Suar22        ""     ""       ""       11.052 0.216   11.823 0.155    ""     ""      1.18  0.03    0.65    0.04      1.0     0.07      1.16     0.16       ""          ""             ""             ""        14.683 0.036  13.648 0.025  13.014 0.03   12.347 0.025   12.053 0.026   11.687 0.406   8.214 ""      ""    ""   ""    ""   ""    ""   ""    ""   ""                  ""     ""      ""                        ""    ""   ""      ""     ""      ""     Vos+2020_table3 59.1     0.61      GaiaCollaboration2020 no   1.06          0.09            -0.05          0.09          
  2MASSJ12171110-0311131  1217-0311 ""                     184.2958 -3.1869  Burg99    T7        Burg03d     T7.5     Burg06b    T7.5     97.5    ""      ""       Radi14  51      4184320                             SL2,SL1         16,16,0,0       2005-01-03                       Houck,JamesR.      3      3       Cush06,Suar22 12.95  0.18     Patt06   11.704 0.264   12.702 0.326    ""     ""      1.28  0.12    3.03    0.24      1.71    0.13      0.77     0.15       ""          ""             ""             ""        15.86  0.061  15.748 0.119  15.887 ""     15.288 0.048   13.197 0.035   11.688 0.243   8.929 ""      14.19 0.03 13.23 0.02 13.34 0.07 12.95 0.18 Patten_etal2006     ""     ""      ""                        ""    ""   ""      ""     ""      ""     Vos+2020_table3 90.8     2.2       Tinney_etal2003       yes  0.52          0.05            0.07           0.05          
  2MASSJ12255432-2739466  1225-2739 ""                     186.4767 -27.6637 Burg99    T6        Burg03d     T6       Burg06b    T6       96.0    Burg03b ""       Wils14  51      12496128                            SL2,SL1,LL2     16,16,32,0      2005-06-30                       Houck,JamesR.      6      7       Cush06,Suar22 12.24  0.02     Patt06   11.157 0.146   12.307 0.201    11.256 0.219   1.32  0.1     2.66    0.18      1.55    0.08      0.65     0.09       ""          ""             ""             ""        15.26  0.047  15.098 0.081  15.073 0.148  14.7   0.035   12.707 0.028   11.215 0.118   9.099 0.48    13.84 0.02 12.75 0.01 12.84 0.1  12.24 0.02 Patten_etal2006     ""     ""      ""                        ""    ""   ""      ""     ""      ""     Vos+2020_table3 75.1     2.5       Tinney_etal2003       yes  0.5           0.04            0.0            0.04          
  2MASSJ12373919+6526148  1237+6526 ""                     189.4056 65.4356  Burg99    T7        Burg03d     T6.5     Burg06b    T6.5     96.5    ""      Kao18    ""      51      4184832                             SL2,SL1         16,16,0,0       2004-03-03                       Houck,JamesR.      4      3       Cush06,Suar22 12.78  0.11     Patt06   11.939 0.224   13.0   0.218    ""     ""      1.19  0.1     1.61    0.26      1.3     0.14      0.91     0.25       ""          ""             ""             ""        15.097 0.042  14.471 0.053  14.295 0.062  15.484 0.045   12.946 0.027   12.046 0.235   9.217 ""      14.39 0.03 12.93 0.03 13.42 0.06 12.78 0.11 Patten_etal2006     2.28   0.1     Kao_etal2018              ""    ""   ""      ""     ""      ""     Vos+2020_table3 96.07    4.78      Vrba_etal2004         yes  0.69          0.09            0.2            0.09          
  2MASSJ12392727+5515371  1239+5515 ""                     189.8637 55.2603  Kirk00    L5        Kirk00      L5       Schn14     L5       85.0    Gizi03  ""       ""      51      4194304                             SL2,SL1,LL2,LL1 16,16,4,4       2004-04-18                       Houck,JamesR.      27     9       Cush06,Suar22 11.43  0.04     Fili15   11.108 0.095   11.357 0.067    11.054 0.116   1.2   0.03    0.63    0.03      1.17    0.06      1.68     0.22       ""          ""             ""             ""        14.711 0.032  13.568 0.033  12.792 0.029  12.032 0.024   11.663 0.023   11.169 0.093   9.401 ""      ""    ""   ""    ""   ""    ""   11.43 0.04 Filippazzo_etal2015 ""     ""      ""                        ""    ""   ""      ""     ""      ""     Vos+2020_table3 42.4     2.1       Dupuy-Liu2012         yes  1.48          0.12            0.37           0.12          
  2MASSJ12545393-0122474  1254-0122 ""                     193.7246 -1.3798  Legg00    T2        Burg03d     T2       Burg06b    T2       92.0    ""      ""       Gira13  51      4185088,12495872                    SL2,SL1,LL2,LL1 32,32,8,16      2004-02-04,2006-01-23            Houck,JamesR.      14     6       Cush06        11.75  0.04     Patt06   10.972 0.137   11.744 0.103    11.026 0.181   1.29  0.06    1.75    0.11      1.23    0.05      0.63     0.11       ""          ""             ""             ""        14.891 0.035  14.09  0.025  13.837 0.054  13.305 0.026   12.396 0.025   10.731 0.091   8.871 0.385   12.63 0.01 12.39 0.01 11.99 0.05 11.75 0.04 Patten_etal2006     ""     ""      ""                        ""    ""   0.15    0.0    0.3     0.0    Vos+2020_table3 78.34    1.07      Dahn_etal2017         yes  0.56          0.04            -0.07          0.04          
  2MASSJ13054019-2541059  1305-2541 Kelu-1,Kelu-1AB        196.4174 -25.685  Ruiz97    L2        Kirk99      L0.5p    Stum08     L2       82.0    Liu05   Clar02   ""      51      4187904                             SL2,SL1         16,16,0,0       2005-02-15                       Houck,JamesR.      43     10      Cush06        10.61  0.02     Patt06   10.418 0.064   10.56  0.046    ""     ""      1.08  0.01    0.61    0.01      1.09    0.03      1.15     0.05       ""          ""             ""             ""        13.414 0.026  12.392 0.025  11.747 0.023  11.239 0.024   10.913 0.022   10.376 0.056   9.337 ""      10.92 0.05 10.9  0.04 10.73 0.01 10.61 0.02 Patten_etal2006     1.8    0.05    Clarke_etal2002           ""    ""   ""      ""     ""      ""     Vos+2020_table3 49.05    0.72      GaiaCollaboration2020 yes  1.11          0.03            0.04           0.03          
